Periodo,Mes,Institucion,Sector,Subsector,Molecula,Producto_Referencia,Presentacion_Sintetica,Unidades_Sell_Out_Sinteticas,Precio_Unitario_Sintetico_MXN,Importe_Sell_Out_Sintetico_MXN,Objetivo_Unidades,Cumplimiento_vs_Objetivo_pct,Variacion_MoM_pct,Pacientes_Estimados,Dias_Stock_Out,Inventario_Cierre_Unidades,Cobertura_Dias_Estimada,KPI_Auditoria,Nivel_Oportunidad
2026-01,Enero,UMAE Hospital General CMN La Raza Dr. Gaudencio González Garza,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,8,25800,206400,7,1.1429,,8,0,16,60,Verde,Mantener / expandir
2026-01,Enero,UMAE Hospital General CMN La Raza Dr. Gaudencio González Garza,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,4,25800,103200,8,0.5,,4,1,9,67.5,Rojo,Intervención comercial / acceso
2026-01,Enero,UMAE Hospital General CMN La Raza Dr. Gaudencio González Garza,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,6,25800,154800,6,1,,6,0,16,80,Amarillo,Seguimiento
2026-01,Enero,UMAE Hospital General CMN La Raza Dr. Gaudencio González Garza,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,13,25800,335400,14,0.9286,,13,0,28,64.6,Rojo,Intervención comercial / acceso
2026-01,Enero,UMAE Hospital de Cardiología CMN Siglo XXI,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,3,25800,77400,3,1,,3,1,6,60,Amarillo,Seguimiento
2026-01,Enero,UMAE Hospital de Especialidades CMN La Raza Dr. Antonio Fraga Mouret,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,9,25800,232200,9,1,,9,0,20,66.7,Amarillo,Seguimiento
2026-01,Enero,UMAE Hospital de Especialidades CMN La Raza Dr. Antonio Fraga Mouret,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,7,25800,180600,8,0.875,,7,2,14,60,Rojo,Intervención comercial / acceso
2026-01,Enero,UMAE Hospital de Especialidades CMN La Raza Dr. Antonio Fraga Mouret,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,6,25800,154800,6,1,,6,0,18,90,Amarillo,Seguimiento
2026-01,Enero,UMAE Hospital de Especialidades CMN La Raza Dr. Antonio Fraga Mouret,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,4,25800,103200,8,0.5,,4,0,14,105,Rojo,Intervención comercial / acceso
2026-01,Enero,UMAE Hospital de Especialidades CMN La Raza Dr. Antonio Fraga Mouret,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,5,25800,129000,6,0.8333,,5,0,15,90,Rojo,Intervención comercial / acceso
